clase,fraccion_promedio,detecciones_dominante
Pastizal,0.694,236
Bosque,0.182,52
Cultivos,0.078,3
Humedal herbáceo,0.025,1
Manglar,0.011,4
Cuerpos de agua,0.006,0
Matorral,0.003,0
