anio,hectareas,mes_pico
2012,128,Mar
2013,235,Ene
2014,192,May
2015,150,Ene
2016,86,Feb
2017,150,Abr
2018,64,Abr
2019,21,Ene
2020,43,Mar
2021,107,Feb
2022,214,Ene
2023,3014,Abr
2024,150,Feb
2025,363,Abr
2026,706,Jun
