clase,detecciones,en_humedal,pct_en_humedal,fraccion_humedal_promedio,hectareas_quemadas,pct_quemado_en_humedal
Pastizal,303,295,97.4,0.881,3570,95.2
Bosque,28,12,42.9,0.137,684,25
Manglar,6,6,100,0.74,192,100
Cultivos,2,1,50,0.5,235,45.5
