clase,fraccion_promedio,detecciones_dominante
Pastizal,0.774,303
Bosque,0.1,28
Cultivos,0.082,2
Humedal herbáceo,0.022,0
Manglar,0.016,6
Cuerpos de agua,0.004,0
Matorral,0.002,0
Suelo desnudo / vegetación escasa,0,0
Zonas construidas,0,0
