situacion,pct_detecciones,pct_area_quemada,pct_aleatorio
Abierto (<20 % de bosque alrededor),58.203125,74.53694473730218,33.833333333333336
Borde (20–80 %),25.390625,22.067976597768034,28.2
Interior de bosque (>80 %),16.40625,3.395078664929778,37.96666666666667
