clase,fraccion_promedio,detecciones_dominante
Pastizal,0.776,119
Bosque,0.128,14
Cultivos,0.064,1
Humedal herbáceo,0.016,0
Manglar,0.012,2
Matorral,0.003,0
Cuerpos de agua,0.001,0
