anio,detecciones,hectareas,frp_promedio,frp_maximo
2012,15,128,5.1,9.86
2013,7,235,9.7,17.91
2014,17,192,9,27.18
2015,7,150,4.1,9.78
2016,8,86,5.3,7.88
2017,1,150,11,11.02
2018,18,64,5.8,12.4
2019,1,21,7.8,7.75
2020,0,43,NA,NA
2021,4,107,3.9,7.22
2022,9,214,6.8,13.88
2023,107,3014,25.1,520.76
2024,0,150,NA,NA
2025,7,363,7.8,10.58
2026,95,706,9.7,55.91
