clase,fraccion_promedio,detecciones_dominante
Pastizal,0.634,148
Bosque,0.24,49
Cultivos,0.08,3
Humedal herbáceo,0.028,0
Manglar,0.008,2
Cuerpos de agua,0.007,0
Matorral,0.003,0
