clase,fraccion_promedio,detecciones_dominante
Pastizal,0.601,185
Bosque,0.265,76
Cultivos,0.092,1
Humedal herbáceo,0.021,0
Manglar,0.011,3
Cuerpos de agua,0.007,0
Matorral,0.003,0
Suelo desnudo / vegetación escasa,0,0
Zonas construidas,0,0
